agent_role,agent_autonomy_level,user_role,requested_action,tool_requested,resource_type,resource_sensitivity,permission_match,action_risk_score,prompt_injection_detected,data_exfiltration_risk,human_approval_required,previous_failed_attempts,audit_log_available,access_decision
customer_support_agent,4,admin,read_record,file_storage_api,api_key_secret,5,0,64,0,83,0,0,1,Blocked
customer_support_agent,2,analyst,export_report,crm_api,sales_pipeline,3,0,66,0,65,1,2,1,Blocked
hr_onboarding_agent,3,vendor,change_permission,external_webhook,sales_pipeline,3,0,100,0,51,1,2,1,Blocked
hr_onboarding_agent,2,manager,send_email,hris_api,customer_profile,3,0,64,0,64,0,0,1,Blocked
finance_reconciliation_agent,1,vendor,read_record,database_api,source_code_repo,4,0,41,0,63,0,1,1,Blocked
security_monitoring_agent,4,guest,change_permission,crm_api,access_policy,5,0,100,1,86,1,4,0,Blocked
data_analytics_agent,2,security_admin,send_email,email_api,access_policy,5,1,46,0,88,1,0,1,Blocked
devops_release_agent,5,manager,read_record,file_storage_api,invoice,3,0,49,0,51,0,0,1,Blocked
it_helpdesk_agent,4,admin,create_ticket,hris_api,customer_profile,3,1,17,0,50,0,1,1,Allowed
customer_support_agent,2,contractor,send_email,email_api,customer_profile,3,1,38,0,66,0,0,0,Needs_Human_Approval
sales_crm_agent,3,admin,export_report,email_api,access_policy,5,1,77,0,83,1,2,1,Needs_Human_Approval
customer_support_agent,4,manager,change_permission,identity_provider_api,customer_profile,3,1,97,0,39,1,1,0,Blocked
it_helpdesk_agent,2,employee,download_file,hris_api,customer_profile,2,0,67,0,70,1,2,1,Blocked
it_helpdesk_agent,5,service_account,download_file,hris_api,access_policy,5,1,85,0,87,1,0,1,Blocked
customer_support_agent,1,analyst,export_report,crm_api,invoice,3,0,78,1,94,1,1,1,Blocked
finance_reconciliation_agent,3,guest,export_report,database_api,support_ticket,1,0,58,0,51,0,2,1,Blocked
procurement_agent,1,analyst,export_report,crm_api,public_knowledge_base,1,0,51,0,52,0,4,1,Blocked
hr_onboarding_agent,3,vendor,delete_record,database_api,support_ticket,2,0,94,0,37,0,0,1,Blocked
executive_assistant_agent,3,guest,create_ticket,ticketing_api,invoice,2,1,16,0,24,1,1,1,Allowed
data_analytics_agent,5,employee,run_script,devops_ci_api,audit_log,4,0,100,0,58,1,1,1,Blocked
finance_reconciliation_agent,3,service_account,search_records,ticketing_api,system_config,4,0,66,1,82,1,3,1,Blocked
it_helpdesk_agent,3,analyst,read_record,finance_erp_api,public_knowledge_base,1,1,2,0,17,0,0,1,Allowed
data_analytics_agent,3,employee,search_records,finance_erp_api,sales_pipeline,3,1,16,0,28,0,0,1,Allowed
customer_support_agent,3,employee,update_record,finance_erp_api,invoice,3,0,73,0,39,1,0,1,Blocked
executive_assistant_agent,4,vendor,create_ticket,ticketing_api,payroll_record,5,0,59,0,61,1,0,1,Blocked
finance_reconciliation_agent,4,service_account,search_records,finance_erp_api,customer_profile,3,0,39,0,42,0,0,1,Blocked
legal_contract_agent,5,manager,update_record,database_api,source_code_repo,3,0,100,1,52,1,0,1,Blocked
executive_assistant_agent,4,security_admin,export_report,finance_erp_api,employee_file,4,0,84,0,83,1,1,0,Blocked
it_helpdesk_agent,4,employee,download_file,file_storage_api,contract_document,3,0,91,1,100,1,0,1,Blocked
procurement_agent,2,analyst,update_record,database_api,public_knowledge_base,1,1,27,0,25,0,0,1,Allowed
hr_onboarding_agent,3,contractor,send_email,email_api,payroll_record,4,1,45,0,82,0,2,1,Needs_Human_Approval
customer_support_agent,4,manager,approve_payment,finance_erp_api,access_policy,5,1,91,0,52,1,0,1,Blocked
